V,target
0.258333,0.0165
0.26,0.01625
0.261667,0.01605
0.263333,0.01585
0.265,0.0157
0.266667,0.01555
0.268333,0.0154
0.27,0.0153
0.271667,0.01525
0.273333,0.0152
0.275,0.01515
0.276667,0.0152
0.278333,0.0152
0.28,0.01525
0.281667,0.01535
0.283333,0.0155
0.285,0.01565
0.286667,0.0158
0.288333,0.01595
0.29,0.0162
0.291667,0.01645
0.293333,0.01675
0.295,0.01705
0.296667,0.01735
0.298333,0.0177
0.3,0.0181
0.301667,0.0185
0.303333,0.01895
0.305,0.0194
0.306667,0.0199
0.308333,0.0205
0.31,0.02105
0.311667,0.0216
0.313333,0.0223
0.315,0.0229
0.316667,0.0236
0.318333,0.02435
0.32,0.0251
0.321667,0.0258
0.323333,0.0266
0.325,0.02745
0.326667,0.0282
0.328333,0.02905
0.33,0.02985
0.331667,0.0308
0.333333,0.0316
0.335,0.03265
0.336667,0.03355
0.338333,0.03445
0.34,0.0354
0.341667,0.0362
0.343333,0.0371
0.345,0.0379
0.346667,0.0386
0.348333,0.03925
0.35,0.0398
0.351667,0.0405
0.353333,0.0411
0.355,0.04175
0.356667,0.04235
0.358333,0.043
0.36,0.04375
0.361667,0.04455
0.363333,0.0454
0.365,0.04625
0.366667,0.0471
0.368333,0.0481
0.37,0.0491
0.371667,0.0501687
0.373333,0.0512052
0.375,0.05230625
0.376667,0.05335685
0.378333,0.05453885
0.38,0.05562605
0.381667,0.05667095
0.383333,0.057739
0.385,0.0587995
0.386667,0.059882
0.388333,0.0609555
0.39,0.062068
0.391667,0.0632035
0.393333,0.0641425
0.395,0.0649885
0.396667,0.065945
0.398333,0.066831
0.4,0.067831
0.401667,0.0686
0.403333,0.069594
0.405,0.070668
0.406667,0.0714935
0.408333,0.072454
0.41,0.073467
0.411667,0.074615
0.413333,0.0757325
0.415,0.0770065
0.416667,0.078278
0.416667,0.079357
0.415,0.078077
0.413333,0.0769255
0.411667,0.075791
0.41,0.0747425
0.408333,0.073729
0.406667,0.0727985
0.405,0.0718075
0.403333,0.070931
0.401667,0.070037
0.4,0.0691685
0.398333,0.068298
0.396667,0.067414
0.395,0.066596
0.393333,0.065654
0.391667,0.0647
0.39,0.063731
0.388333,0.0627315
0.386667,0.061707
0.385,0.0606665
0.383333,0.059621
0.381667,0.0585305
0.38,0.0573995
0.378333,0.0563245
0.376667,0.055153
0.375,0.0541065
0.373333,0.053006
0.371667,0.05191
0.37,0.050858
0.368333,0.0498
0.366667,0.0488
0.365,0.04785
0.363333,0.04695
0.361667,0.0461
0.36,0.0452
0.358333,0.04445
0.356667,0.0437
0.355,0.04305
0.353333,0.04245
0.351667,0.04185
0.35,0.04125
0.348333,0.0407
0.346667,0.0401
0.345,0.03945
0.343333,0.0388
0.341667,0.03805
0.34,0.03725
0.338333,0.03645
0.336667,0.03555
0.335,0.0347
0.333333,0.03375
0.331667,0.03285
0.33,0.032
0.328333,0.03105
0.326667,0.0302
0.325,0.0293
0.323333,0.0284
0.321667,0.02755
0.32,0.02675
0.318333,0.02595
0.316667,0.0251
0.315,0.0244
0.313333,0.0237
0.311667,0.02305
0.31,0.0224
0.308333,0.0218
0.306667,0.0213
0.305,0.02075
0.303333,0.02025
0.301667,0.01975
0.3,0.01925
0.298333,0.0188
0.296667,0.0184
0.295,0.018
0.293333,0.01765
0.291667,0.01735
0.29,0.017
0.288333,0.0167
0.286667,0.01645
0.285,0.0162
0.283333,0.016
0.281667,0.0158
0.28,0.01565
0.278333,0.01555
0.276667,0.01545
0.275,0.0154
0.273333,0.0154
0.271667,0.01545
0.27,0.0155
0.268333,0.0156
0.266667,0.0157
0.265,0.01585
0.263333,0.0161
0.261667,0.0163
0.26,0.01655
0.258333,0.0168
0.256667,0.0171
0.255,0.0174
0.253333,0.01775
0.251667,0.01805
0.25,0.0184
0.248333,0.0187
0.246667,0.019
0.245,0.0193
0.243333,0.01955
0.241667,0.01975
0.24,0.01995
0.238333,0.02005
0.236667,0.0201
0.235,0.0201
0.233333,0.02005
0.231667,0.0199
0.23,0.01975
0.228333,0.01955
0.226667,0.0193
0.225,0.01905
0.223333,0.01875
0.221667,0.01845
0.22,0.01815
0.218333,0.0178
0.216667,0.01745
0.215,0.0171
0.213333,0.01675
0.211667,0.0164
0.21,0.01605
0.208333,0.01565
0.206667,0.0153
0.205,0.01495
0.203333,0.0145
0.201667,0.0142
0.2,0.01385
0.198333,0.01355
0.196667,0.01315
0.195,0.0128
0.193333,0.0125
0.191667,0.0122
0.19,0.01185
0.188333,0.01155
0.186667,0.01125
0.185,0.01095
0.183333,0.01065
0.181667,0.01035
0.18,0.01005
0.178333,0.0098
0.176667,0.0095
0.175,0.00925
0.173333,0.00895
0.171667,0.0087
0.17,0.00845
0.168333,0.0082
0.166667,0.00795
0.165,0.00775
0.163333,0.0075
0.161667,0.0073
0.16,0.00705
0.158333,0.00685
0.156667,0.00665
0.155,0.00645
0.153333,0.00625
0.151667,0.00605
0.15,0.00585
0.148333,0.0057
0.146667,0.0055
0.145,0.00535
0.143333,0.0052
0.141667,0.005
0.14,0.004865
0.138333,0.00472
0.136667,0.004575
0.135,0.004435
0.133333,0.0043
0.131667,0.00417
0.13,0.004045
0.128333,0.003925
0.126667,0.00381
0.125,0.003695
0.123333,0.00359
0.121667,0.00348
0.12,0.003375
0.118333,0.003285
0.116667,0.00319
0.115,0.003105
0.113333,0.00302
0.111667,0.00294
0.11,0.002865
0.108333,0.00279
0.106667,0.00272
0.105,0.002655
0.103333,0.00259
0.101667,0.002535
0.1,0.002475
0.098333,0.002425
0.096667,0.00237
0.095,0.002325
0.093333,0.00228
0.091667,0.00224
0.09,0.0022
0.088333,0.00216
0.086667,0.002125
0.085,0.00209
0.083333,0.002055
0.081667,0.002025
0.08,0.001995
0.078333,0.00196
0.076667,0.00193
0.075,0.0019
0.073333,0.001865
0.071667,0.00183
0.07,0.001795
0.068333,0.00176
0.066667,0.001725
0.065,0.00169
0.063333,0.001645
0.061667,0.001605
0.06,0.001565
0.058333,0.00152
0.056667,0.001475
0.055,0.00143
0.053333,0.001385
0.051667,0.001335
0.05,0.00129
0.048333,0.001245
0.046667,0.001195
0.045,0.00115
0.043333,0.001105
0.041667,0.00106
0.04,0.00102
0.038333,0.000975
0.036667,0.00093
0.035,0.00089
0.033333,0.00085
0.031667,0.00081
0.03,0.000775
0.028333,0.00074
0.026667,0.0007
0.025,0.000665
0.023333,0.000635
0.021667,0.000605
0.02,0.000575
0.018333,0.000545
0.016667,0.00052
0.015,0.0004905
0.013333,0.000466
0.011667,0.0004415
0.01,0.000416
0.008333,0.000396
0.006667,0.0003735
0.005,0.0003525
0.003333,0.000332
0.001667,0.0003125
0,0.0002955
-0.001667,0.000277
-0.003333,0.000261
-0.005,0.000246
-0.006667,0.0002305
-0.008333,0.0002165
-0.01,0.000205
-0.011667,0.000193
-0.013333,0.0001805
-0.015,0.00017
-0.016667,0.000159
-0.018333,0.0001495
-0.02,0.0001395
-0.021667,0.00013
-0.023333,0.000122
-0.025,0.0001135
-0.026667,0.000106
-0.028333,0.000098
-0.03,0.000091
-0.031667,0.000085
-0.033333,0.0000795
-0.035,0.000074
-0.036667,0.0000685
-0.038333,0.000064
-0.04,0.0000595
-0.041667,0.000055
-0.043333,0.000051
